"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
35,"NCT02820389","CT Colonography as the Initial Diagnostic Imaging Tool for Patients With Suspected Colorectal Cancer","Not yet recruiting","No Results Available","Colorectal Cancer","Procedure: Optical colonoscopy|Procedure: CTC","Guy's and St Thomas' NHS Foundation Trust|King's College London","Both","40 Years and older   (Adult, Senior)","","246","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Colon CT study","June 3, 2016","June 2016","July 2018","June 28, 2016","June 2016","No Study Results Posted","CTCS","January 2018","3-month cost analysis per patient undergoing either Optical Colonoscopy or CTC as the initial imaging modality (measured in £ per patient)|6-month cost analysis per patient undergoing either Optical Colonoscopy or CTC as the initial imaging modality (measured in £ per patient)|3-month cost-effectiveness analysis per patient undergoing either CTC or Optical Colonoscopy as the initial imaging modality (measured in £ per QALY)|6-month cost-effectiveness analysis per patient undergoing either CTC or Optical|Frequency of incidental findings using CTC as the initial diagnostic imaging tool (measured as a %, number of patients with incidental findings in CTC / number of CTC scans)|Likelihood ratio of CTC as the initial diagnostic imaging tool against the optical colonoscopy in patients with initial positive CTC findings for medium to large polyps and colorectal cancer (estimated using the p-value)|Time taken (measured in days) to reach a definitive diagnosis and first major treatment decision based on the the initial CTC scan in comparison to Optical Colonoscopy as the initial imaging modality.|Do not Attend (DNA) or On the Day Cancellation rate associated with the pathway using Colonoscopy or CTC as the initial imaging test (measured as a percentage)|Patient satisfaction associated with both clinical pathways (i.e. using CTC or Optical Colonoscopy as the initial imaging scan)|Patient's self perceived quality of life - measured using EQ-5D-5L questionnaire|Cost per correctly diagnosed medium to large polyps (≥6mm) and colorectal cancer using CTC as the initial investigation (measured in £ per patient)","https://ClinicalTrials.gov/show/NCT02820389"
36,"NCT00507598","Metabolomics-Based Detection of Colorectal Cancer","Completed","No Results Available","Colorectal Cancer","Other: No intervention","Indiana University","Both","18 Years and older   (Adult, Senior)","Phase 1","69","Other","Observational","Time Perspective: Prospective","0706-03: IUCRO-0198","July 24, 2007","July 2007","November 2012","September 10, 2014","September 2014","No Study Results Posted","metabolomics","March 2009","•Perform metabolic profiling of tissue,serum & urine from pts w/ colorectal cancer (stages I-IV), healthy controls & pts w/ colorectal polyps & correlate results.|Correlate changes of serum & urine biomarkers /p trt to predict response or toxicity,& correlate w/other treatment outcomes. Compare the metabolic profile between pts w/various stages of colorectal cancer.","https://ClinicalTrials.gov/show/NCT00507598"
37,"NCT02442583","Reducing Sedentary Behaviors Among Colorectal Cancer Survivors","Active, not recruiting","No Results Available","Colorectal Cancer","Other: Brochure regarding sedentary behavior","Duke University","Both","18 Years and older   (Adult, Senior)","","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00060174","May 7, 2015","May 2015","April 2017","May 20, 2016","January 2016","No Study Results Posted","null","April 2017","Feasibility of the print brochure, as measured by Likert scale.|Change in number of minutes per day of light to strenuous physical activity.|Change in number of minutes per day of bouts of sedentary behaviors.|Covariation between baseline use of an ActiGraph, and self-reporting of sedentary behaviors","https://ClinicalTrials.gov/show/NCT02442583"
38,"NCT01723969","Screening Platform for Clinical Trials in Advanced Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer|Advanced Colorectal Cancer","Genetic: Tumour markers testing","European Organisation for Research and Treatment of Cancer - EORTC|Alliance Boots","Both","18 Years and older   (Adult, Senior)","","2600","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","EORTC-40CRC|2012-003714-14","November 5, 2012","September 2013","February 2017","June 9, 2016","June 2016","No Study Results Posted","SPECTAcolor","December 2016","Tumour markers assessment","https://ClinicalTrials.gov/show/NCT01723969"
39,"NCT00838318","Colon Cancer Screening in First-Degree Relatives of Hispanic Colorectal Cancer (CRC) Patients","Completed","No Results Available","Colorectal Cancer","Behavioral: Interview","M.D. Anderson Cancer Center","Both","18 Years to 70 Years   (Adult, Senior)","","26","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2004-0039","February 5, 2009","February 2004","March 2010","July 26, 2012","July 2012","No Study Results Posted","null","March 2010","To look at the knowledge, beliefs, and attitudes toward screening for colorectal cancer among Hispanic colorectal cancer patients and their close relatives.|To study how these families communicate with each other and health care providers about colorectal cancer risk and screening.","https://ClinicalTrials.gov/show/NCT00838318"
40,"NCT00264979","Evaluation of 2 Resection Strategies of Synchronous Colorectal Cancer Metastases","Recruiting","No Results Available","Colorectal Cancer|Hepatic Metastases","Procedure: Simultaneous surgery|Procedure: Sequential surgery","Rennes University Hospital|Ministry of Health, France","Both","18 Years and older   (Adult, Senior)","","222","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","DGS 2005/0193|PHRC/04-01|CIC0203/030","December 12, 2005","December 2005","December 2019","March 21, 2016","March 2016","No Study Results Posted","METASYNC","June 2017","Rate of patients with at least one postoperative severe complication within 60 days after each surgery|Death rate during hospitalization or within 60 days after each surgery|Rate and number of severe general, digestive or hepatic complications|Rate of unachieved hepatic resection|Global survival distribution and 2 years global survival rate|Recurrence-free survival distribution and 2 years recurrence-free survival rate|Two years recurrence rate","https://ClinicalTrials.gov/show/NCT00264979"
41,"NCT01909362","Biomarker Analysis for Patients With Metastatic Colorectal Cancer (MCC)","Completed","No Results Available","Colorectal Neoplasms|Advanced Metastatic Colorectal Cancer","","US Oncology Research|Quintiles, Inc.","Both","18 Years and older   (Adult, Senior)","","52","Industry","Observational","Observational Model: Case Control|Time Perspective: Prospective","12246","July 19, 2013","July 2013","February 2014","February 25, 2014","February 2014","No Study Results Posted","null","February 2014","number of drug targetable genetic changes found in tumor tissue sample|number and cause of failed analyses after registration and tissue submission|number of physicians who took into consideration regimens that were suggested by the results of the sequencing analysis when deciding their patients' next line of therapies.","https://ClinicalTrials.gov/show/NCT01909362"
42,"NCT00961129","The Continuing Care Needs in Colorectal Cancer Patients in Different Stages","Recruiting","No Results Available","Colorectal Cancer","","National Taiwan University Hospital","Both","18 Years and older   (Adult, Senior)","","269","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","200902016R","August 16, 2009","March 2009","December 2011","April 11, 2010","April 2010","No Study Results Posted","null","April 2010","supportive cancer care needs","https://ClinicalTrials.gov/show/NCT00961129"
43,"NCT00855348","PRESEPT Study: Evaluation of SEPT9 Biomarker Performance for Colorectal Cancer Screening","Completed","No Results Available","Colorectal Cancer","Other: All eligible subjects will provide blood for SEPT9 biomarker testing","Epigenomics, Inc","Both","50 Years and older   (Adult, Senior)","","7929","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","Epigenomics_SPR0006","February 4, 2009","June 2008","April 2010","August 1, 2014","August 2014","No Study Results Posted","PRESEPT","January 2010","Clinical/surgical diagnosis of invasive colorectal adenocarcinoma detected by optical colonoscopy and confirmed by histology compared to the Septin 9 Biomarker classification.|Detection of adenomatous polyp(s) equal to or greater than 10 mm, flat lesion (s) or non-invasive adenocarcinoma by colonoscopy and confirmed by histology compared to the Septin 9 Biomarker classification will also be described.","https://ClinicalTrials.gov/show/NCT00855348"
44,"NCT00251485","A Phase II Trial of Modified FOLFOX 6 and Cetuximab in First Line Treatment of Metastatic Colorectal Cancer","Completed","No Results Available","Colorectal Cancer","Drug: Cetuximab","Veeda Oncology|Bristol-Myers Squibb|Sanofi","Both","18 Years and older   (Adult, Senior)","Phase 2","82","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","I-03-002","November 8, 2005","March 2004","June 2005","August 20, 2008","August 2008","No Study Results Posted","null","June 2005","To assess the response rate, progression-free survival, and overall safety profile of a modified FOLFOX 6 plus cetuximab regimen in the first-line treatment of patients with metastatic colorectal cancer.|To assess overall survival of patients with metastatic colorectal cancer who receive first-line therapy with a modified FOLFOX 6 + cetuximab regimen","https://ClinicalTrials.gov/show/NCT00251485"
45,"NCT02754856","Tremelimumab (Anti-CTLA-4) Plus MEDI4736 (Anti-PD-L1) in Resectable Colorectal Cancer Liver Metastases.","Recruiting","No Results Available","Colorectal Cancer|Liver Metastases","Drug: Tremelimumab|Drug: Fluorouracil|Drug: Leucovorin|Drug: Oxaliplatin|Drug: Bevacizumab|Drug: MEDI4736|Procedure: Liver Resection","M.D. Anderson Cancer Center|MedImmune LLC","Both","18 Years and older   (Adult, Senior)","Phase 1","35","Other|Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2015-0828|NCI-2016-00772","April 26, 2016","July 2016","null","July 29, 2016","July 2016","No Study Results Posted","null","July 2021","Feasibility of Tremelimumab plus MEDI4736 with FOLFOX and Bevacizumab in Candidates for Resection of Colorectal Cancer Liver Metastases|Relapse-free survival (RFS) of Tremelimumab plus MEDI4736 with FOLFOX and Bevacizumab in Candidates for Resection of Colorectal Cancer Liver Metastases","https://ClinicalTrials.gov/show/NCT02754856"
